,Country,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
641,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1272A,SP_33024025_9_49,43.5299,-5.6735,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,98.53881279,100,98.53881279,10.6826923
642,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1911A,SP_46010001_9_46,39.70527777,-0.33666666,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,97.16894977,100,97.16894977,4.95547462
643,Spain,2017,2017-01-12T02:27:59.127Z,STA_ES1919A,SP_35026003_9_49,28.003645,-15.411851,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,94.48630137,100,94.48630137,9.52204905
644,Spain,2017,2018-09-08T03:50:58.41Z,STA_ES1915A,SP_03014008_9_M,38.34027777,-0.50666666,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,87.67123288,100,87.67123288,11.559375
645,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES2000A,SP_38038023_9_49,28.457954,-16.26333,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,94.21232877,100,94.21232877,9.26838725
646,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1761A,SP_38017002_9_46,28.080007,-16.559855,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.73515982,100,96.73515982,10.56160018
647,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES2020A,SP_38038025_9_46,28.45666,-16.271836,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.21004566,100,96.21004566,5.65341718
648,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES2021A,SP_38038026_9_46,28.46301,-16.26488,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,97.07762557,100,97.07762557,3.4771872
649,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1864A,SP_35024001_9_A,28.99031,-13.51655,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,95.99315068,100,95.99315068,7.56582233
650,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1980A,SP_38037001_9_47,28.685983,-17.764587,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,91.43835616,100,91.43835616,6.65106117
651,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1976A,SP_38038021_9_49,28.461788,-16.27662,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,91.46118721,100,91.46118721,11.83749375
652,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1760A,SP_38017003_9_46,28.112486,-16.577577,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.44977169,100,96.44977169,9.91845188
653,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1573A,SP_35016012_9_49,28.133732,-15.432823,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,86.75799087,100,86.75799087,13.65723684
654,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1865A,SP_35017001_9_47,28.500255,-13.852395,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,85.76484018,100,85.76484018,6.42952216
655,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1753A,SP_26117001_9_49,42.34,-2.059,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,98.43607306,100,98.43607306,6.24211991
656,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES2039A,SP_15055003_9_49,43.5198,-8.1502,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,97.55707763,100,97.55707763,13.30647554
659,Spain,2016,2017-08-12T04:51:05.54Z,STA_ES1977A,SP_35022002_9_47,27.89833,-15.48833,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,99.3510929,100,99.3510929,7.46442076
660,Spain,2016,2016-01-20T02:25:38.267Z,STA_ES1884A,SP_46220010_9_46,39.63416666,-0.26583333,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,99.41939891,100,99.41939891,6.65063552
661,Spain,2016,2017-08-07T07:45:40.333Z,STA_ES2021A,SP_38038026_9_46,28.46301,-16.26488,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,76.61657559,100,76.61657559,3.76552748
662,Spain,2016,2016-10-26T04:16:49.723Z,STA_ES0094A,SP_15070006_9_47,43.4056,-7.9889,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,93.53369763,100,93.53369763,7.62123904
663,Spain,2016,2016-03-05T01:16:27.89Z,STA_ES1632A,SP_47186029_9_49,41.62055555,-4.74666666,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,83.44717668,100,83.44717668,8.54106412
664,Spain,2016,2017-08-12T05:21:09.743Z,STA_ES0010R,SP_17032999_9_M,42.31917,3.31583,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,87.15846995,100,87.15846995,6.17241379
665,Spain,2016,2017-08-12T04:51:05.54Z,STA_ES1691A,SP_12140002_9_46,39.93055555,-0.60333333,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,98.78187614,100,98.78187614,7.75694364
666,Spain,2016,2016-01-20T02:25:38.267Z,STA_ES2003A,SP_38038024_9_49,28.455375,-16.27675,ES.BDCA.AQD,ug.m-3,01/01/2016,01/01/2017,Valid,Verified,84.15300546,100,84.15300546,8.91571969
